country,latitude,longitude,visitors_2024,pct_of_total
Singapore,1.35,103.82,18855680,49.7
Indonesia,-0.79,113.92,4145127,10.9
China,35.86,104.19,3725894,9.8
Thailand,15.87,100.99,2268182,6.0
Brunei Darussalam,4.53,114.73,1732119,4.6
India,20.59,78.96,1365387,3.6
Philippines,12.88,121.77,571533,1.5
South Korea,36.51,127.77,553165,1.5
Australia,-25.27,133.78,447785,1.2
Chinese Taipei,23.7,121.0,423117,1.1
United Kingdom,55.38,-3.44,390035,1.0
Japan,36.2,138.25,367182,1.0
Vietnam,14.06,108.28,366525,1.0
United States,37.09,-95.71,304880,0.8
France,46.23,2.21,183872,0.5
