country,year,visitors,rank,label
Singapore,2019,17033066,1,Singapore
Indonesia,2019,3882666,2,Indonesia
China,2019,3330129,3,China
Thailand,2019,2223243,4,Thailand
Brunei Darussalam,2019,1621344,5,Brunei
India,2019,846874,6,India
South Korea,2019,764882,7,S. Korea
Philippines,2019,576107,8,Philippines
Singapore,2020,2871340,1,Singapore
Indonesia,2020,762854,2,Indonesia
Thailand,2020,545803,3,Thailand
China,2020,428642,4,China
Brunei Darussalam,2020,190241,5,Brunei
India,2020,175104,6,India
South Korea,2020,137924,7,S. Korea
Philippines,2020,87950,8,Philippines
Thailand,2021,318245,1,Thailand
Singapore,2021,16729,2,Singapore
Indonesia,2021,13161,3,Indonesia
China,2021,7729,4,China
Brunei Darussalam,2021,4039,5,Brunei
India,2021,3920,6,India
South Korea,2021,3033,7,S. Korea
Philippines,2021,2842,8,Philippines
Singapore,2022,8399088,1,Singapore
Indonesia,2022,1601156,2,Indonesia
Thailand,2022,1185459,3,Thailand
Brunei Darussalam,2022,404087,4,Brunei
India,2022,360256,5,India
China,2022,260079,6,China
Philippines,2022,203989,7,Philippines
South Korea,2022,175553,8,S. Korea
Singapore,2023,14828553,1,Singapore
Indonesia,2023,3479392,2,Indonesia
Thailand,2023,2300158,3,Thailand
China,2023,1613312,4,China
Brunei Darussalam,2023,1116211,5,Brunei
India,2023,773221,6,India
South Korea,2023,465617,7,S. Korea
Philippines,2023,461787,8,Philippines
Singapore,2024,18855680,1,Singapore
Indonesia,2024,4145127,2,Indonesia
China,2024,3725894,3,China
Thailand,2024,2268182,4,Thailand
Brunei Darussalam,2024,1732119,5,Brunei
India,2024,1365387,6,India
Philippines,2024,571533,7,Philippines
South Korea,2024,553165,8,S. Korea
