id,row,col,mode
1,9,0,Private Vehicle (90.9%)
2,9,1,Private Vehicle (90.9%)
3,9,2,Private Vehicle (90.9%)
4,9,3,Private Vehicle (90.9%)
5,9,4,Private Vehicle (90.9%)
6,9,5,Private Vehicle (90.9%)
7,9,6,Private Vehicle (90.9%)
8,9,7,Private Vehicle (90.9%)
9,9,8,Private Vehicle (90.9%)
10,9,9,Private Vehicle (90.9%)
11,8,0,Private Vehicle (90.9%)
12,8,1,Private Vehicle (90.9%)
13,8,2,Private Vehicle (90.9%)
14,8,3,Private Vehicle (90.9%)
15,8,4,Private Vehicle (90.9%)
16,8,5,Private Vehicle (90.9%)
17,8,6,Private Vehicle (90.9%)
18,8,7,Private Vehicle (90.9%)
19,8,8,Private Vehicle (90.9%)
20,8,9,Private Vehicle (90.9%)
21,7,0,Private Vehicle (90.9%)
22,7,1,Private Vehicle (90.9%)
23,7,2,Private Vehicle (90.9%)
24,7,3,Private Vehicle (90.9%)
25,7,4,Private Vehicle (90.9%)
26,7,5,Private Vehicle (90.9%)
27,7,6,Private Vehicle (90.9%)
28,7,7,Private Vehicle (90.9%)
29,7,8,Private Vehicle (90.9%)
30,7,9,Private Vehicle (90.9%)
31,6,0,Private Vehicle (90.9%)
32,6,1,Private Vehicle (90.9%)
33,6,2,Private Vehicle (90.9%)
34,6,3,Private Vehicle (90.9%)
35,6,4,Private Vehicle (90.9%)
36,6,5,Private Vehicle (90.9%)
37,6,6,Private Vehicle (90.9%)
38,6,7,Private Vehicle (90.9%)
39,6,8,Private Vehicle (90.9%)
40,6,9,Private Vehicle (90.9%)
41,5,0,Private Vehicle (90.9%)
42,5,1,Private Vehicle (90.9%)
43,5,2,Private Vehicle (90.9%)
44,5,3,Private Vehicle (90.9%)
45,5,4,Private Vehicle (90.9%)
46,5,5,Private Vehicle (90.9%)
47,5,6,Private Vehicle (90.9%)
48,5,7,Private Vehicle (90.9%)
49,5,8,Private Vehicle (90.9%)
50,5,9,Private Vehicle (90.9%)
51,4,0,Private Vehicle (90.9%)
52,4,1,Private Vehicle (90.9%)
53,4,2,Private Vehicle (90.9%)
54,4,3,Private Vehicle (90.9%)
55,4,4,Private Vehicle (90.9%)
56,4,5,Private Vehicle (90.9%)
57,4,6,Private Vehicle (90.9%)
58,4,7,Private Vehicle (90.9%)
59,4,8,Private Vehicle (90.9%)
60,4,9,Private Vehicle (90.9%)
61,3,0,Private Vehicle (90.9%)
62,3,1,Private Vehicle (90.9%)
63,3,2,Private Vehicle (90.9%)
64,3,3,Private Vehicle (90.9%)
65,3,4,Private Vehicle (90.9%)
66,3,5,Private Vehicle (90.9%)
67,3,6,Private Vehicle (90.9%)
68,3,7,Private Vehicle (90.9%)
69,3,8,Private Vehicle (90.9%)
70,3,9,Private Vehicle (90.9%)
71,2,0,Private Vehicle (90.9%)
72,2,1,Private Vehicle (90.9%)
73,2,2,Private Vehicle (90.9%)
74,2,3,Private Vehicle (90.9%)
75,2,4,Private Vehicle (90.9%)
76,2,5,Private Vehicle (90.9%)
77,2,6,Private Vehicle (90.9%)
78,2,7,Private Vehicle (90.9%)
79,2,8,Private Vehicle (90.9%)
80,2,9,Private Vehicle (90.9%)
81,1,0,Private Vehicle (90.9%)
82,1,1,Private Vehicle (90.9%)
83,1,2,Private Vehicle (90.9%)
84,1,3,Private Vehicle (90.9%)
85,1,4,Private Vehicle (90.9%)
86,1,5,Private Vehicle (90.9%)
87,1,6,Private Vehicle (90.9%)
88,1,7,Private Vehicle (90.9%)
89,1,8,Private Vehicle (90.9%)
90,1,9,Private Vehicle (90.9%)
91,0,0,Private Vehicle (90.9%)
92,0,1,Taxi / e-Hailing (4.1%)
93,0,2,Taxi / e-Hailing (4.1%)
94,0,3,Taxi / e-Hailing (4.1%)
95,0,4,Taxi / e-Hailing (4.1%)
96,0,5,Bus (3.9%)
97,0,6,Bus (3.9%)
98,0,7,Bus (3.9%)
99,0,8,Bus (3.9%)
100,0,9,Train / Air / Water (1.1%)
